,Name,MarApr_AB,MarApr_PA,MarApr_H,MarApr_AVG,FullSeason_AVG,Prediction.1,Prediction.2
44,Buster Posey,1.510,1.911,0.750,0.273,0.288,0.224,0.270
45,Eduardo Nunez,1.642,2.099,0.808,0.269,0.288,0.223,0.273
46,Nelson Cruz,1.647,2.244,0.786,0.262,0.287,0.222,0.274
47,Danny Valencia,1.642,2.099,0.808,0.269,0.287,0.223,0.273
48,Odubel Herrera,1.569,2.311,0.893,0.313,0.286,0.232,0.289
49,Hanley Ramirez,1.863,2.244,0.964,0.284,0.286,0.227,0.280
50,Jonathan Villar,1.412,1.911,0.607,0.236,0.285,0.217,0.260
51,Adrian Gonzalez,1.784,2.333,0.929,0.286,0.285,0.227,0.282
52,Ian Desmond,1.627,2.067,0.679,0.229,0.285,0.216,0.262
53,Adam Eaton,1.843,2.378,1.000,0.298,0.284,0.229,0.286
54,Josh Donaldson,1.882,2.467,1.000,0.292,0.284,0.228,0.287
55,Josh Harrison,1.765,2.200,1.071,0.333,0.283,0.236,0.291
56,Asdrubal Cabrera,1.569,1.956,0.857,0.300,0.280,0.229,0.278
57,Yoenis Cespedes,1.333,1.667,0.714,0.294,0.280,0.228,0.270
58,Kyle Seager,1.608,2.089,0.464,0.159,0.278,0.202,0.245
59,Angel Pagan,1.745,2.156,1.000,0.315,0.277,0.233,0.286
60,Dexter Fowler,1.471,2.111,0.929,0.347,0.276,0.239,0.293
61,Didi Gregorius,1.314,1.600,0.536,0.224,0.276,0.214,0.251
62,Jason Kipnis,1.647,2.089,0.821,0.274,0.275,0.224,0.274
63,Justin Turner,1.510,1.956,0.679,0.247,0.275,0.219,0.264
64,Brandon Belt,1.569,2.222,0.857,0.300,0.275,0.229,0.284
65,Brandon Crawford,1.529,2.067,0.679,0.244,0.275,0.218,0.266
66,Carlos Correa,1.667,2.200,0.821,0.271,0.274,0.224,0.276
67,Cheslor Cuthbert,1.642,2.099,0.808,0.269,0.274,0.223,0.273
68,Evan Longoria,1.863,2.200,0.786,0.232,0.273,0.216,0.266
69,Stephen Piscotty,1.784,2.244,0.964,0.297,0.273,0.229,0.283
70,Adonis Garcia,1.667,2.089,0.857,0.282,0.273,0.226,0.276
71,Yasmany Tomas,1.706,2.133,0.857,0.276,0.272,0.225,0.275
72,Ben Zobrist,1.431,2.022,0.679,0.260,0.272,0.222,0.269
73,Rougned Odor,1.706,2.067,0.821,0.264,0.271,0.222,0.271
74,Kole Calhoun,1.686,2.111,0.821,0.267,0.271,0.223,0.273
75,Matt Carpenter,1.706,2.422,0.714,0.230,0.271,0.216,0.270
76,Starlin Castro,1.608,1.933,0.893,0.305,0.270,0.230,0.279
77,Anthony Rendon,1.784,2.222,0.786,0.242,0.270,0.218,0.269
78,Nick Markakis,1.686,2.244,0.929,0.302,0.269,0.230,0.284
79,Brian Dozier,1.843,2.356,0.643,0.191,0.268,0.208,0.259
80,Albert Pujols,1.784,2.200,0.571,0.176,0.268,0.205,0.251
81,Matt Kemp,1.804,2.133,0.929,0.283,0.268,0.226,0.277
82,Jackie Bradley Jr.,1.588,1.978,0.786,0.272,0.267,0.224,0.271
83,Jonathan Schoop,1.529,1.822,0.607,0.218,0.267,0.213,0.254
84,Kevin Pillar,1.804,2.178,0.893,0.272,0.266,0.224,0.275
85,Eric Hosmer,1.745,2.111,1.036,0.326,0.266,0.235,0.288
86,Denard Span,1.765,2.378,0.821,0.256,0.266,0.221,0.276
87,Marcell Ozuna,1.627,2.022,0.679,0.229,0.266,0.216,0.261
88,Nomar Mazara,1.642,2.099,0.808,0.269,0.266,0.223,0.273
89,Adam Jones,1.314,1.644,0.536,0.224,0.265,0.214,0.252
90,Logan Forsythe,1.608,2.089,1.000,0.341,0.264,0.238,0.291
91,Kendrys Morales,1.647,2.067,0.679,0.226,0.263,0.215,0.261
92,Jacoby Ellsbury,1.667,2.067,0.714,0.235,0.263,0.217,0.264
93,Scooter Gennett,1.216,1.600,0.571,0.258,0.263,0.221,0.259
94,Edwin Encarnacion,1.882,2.311,0.857,0.250,0.263,0.220,0.273
95,Brett Gardner,1.392,1.867,0.643,0.254,0.261,0.220,0.264
96,Joe Mauer,1.647,2.356,0.964,0.321,0.261,0.234,0.292
97,George Springer,1.902,2.356,0.964,0.278,0.261,0.225,0.281
98,Alcides Escobar,1.922,2.333,0.750,0.214,0.261,0.213,0.264
99,Carlos Santana,1.471,1.911,0.643,0.240,0.259,0.218,0.261
100,Wil Myers,1.882,2.333,1.036,0.302,0.259,0.230,0.286
101,Gregory Polanco,1.686,2.333,0.929,0.302,0.258,0.230,0.286
102,Jordy Mercer,1.667,2.267,0.964,0.318,0.256,0.233,0.289
103,Mark Trumbo,1.745,2.133,1.071,0.337,0.256,0.237,0.291
104,Andrew McCutchen,1.824,2.422,0.750,0.226,0.256,0.215,0.269
105,Jose Iglesias,1.392,1.756,0.679,0.268,0.255,0.223,0.265
106,Maikel Franco,1.765,2.156,0.857,0.267,0.255,0.223,0.274
107,Howie Kendrick,1.642,2.099,0.808,0.269,0.255,0.223,0.273
108,Marwin Gonzalez,1.642,2.099,0.808,0.269,0.254,0.223,0.273
109,Troy Tulowitzki,1.627,2.200,0.500,0.169,0.254,0.204,0.250
110,Yonder Alonso,1.642,2.099,0.808,0.269,0.253,0.223,0.273
111,Michael Saunders,1.451,1.800,0.821,0.311,0.253,0.232,0.277
112,Zack Cozart,1.412,1.689,0.929,0.361,0.252,0.241,0.287
113,Chase Utley,1.647,2.133,0.857,0.286,0.252,0.227,0.278
114,Stephen Vogt,1.471,1.800,0.679,0.253,0.251,0.220,0.262
115,Chase Headley,1.176,1.578,0.321,0.150,0.251,0.200,0.231
116,Jay Bruce,1.471,1.844,0.679,0.253,0.250,0.220,0.263
117,Jake Lamb,1.549,2.044,0.786,0.278,0.249,0.225,0.274
118,Eugenio Suarez,1.745,2.133,0.857,0.270,0.248,0.224,0.274
119,Leonys Martin,1.373,1.778,0.500,0.200,0.247,0.210,0.248
120,Salvador Perez,1.471,1.778,0.643,0.240,0.247,0.218,0.259
121,Khris Davis,1.686,2.022,0.679,0.221,0.247,0.214,0.259
122,Justin Upton,1.863,2.200,0.750,0.221,0.246,0.214,0.263
123,Corey Dickerson,1.373,1.711,0.536,0.214,0.245,0.212,0.250
124,Jayson Werth,1.392,1.822,0.536,0.211,0.244,0.212,0.252
125,Bryce Harper,1.510,2.133,0.786,0.286,0.243,0.227,0.278
126,Brad Miller,1.642,2.099,0.808,0.269,0.243,0.223,0.273
127,Travis Shaw,1.686,2.133,0.964,0.314,0.242,0.232,0.285
128,Freddy Galvis,1.686,2.067,0.714,0.233,0.241,0.216,0.263
129,Adam Duvall,1.642,2.099,0.808,0.269,0.241,0.223,0.273
130,Alexei Ramirez,1.745,2.111,0.857,0.270,0.241,0.224,0.273
131,Joe Panik,1.824,2.289,0.929,0.280,0.239,0.226,0.280
132,Mike Napoli,1.529,1.867,0.571,0.205,0.239,0.211,0.252
133,Addison Russell,1.373,1.889,0.536,0.214,0.238,0.212,0.254
134,Melvin Upton Jr.,1.608,2.089,0.714,0.244,0.238,0.219,0.266
135,Marcus Semien,1.529,1.956,0.571,0.205,0.238,0.211,0.253
136,Curtis Granderson,1.706,2.244,0.750,0.241,0.237,0.218,0.269
137,Adeiny Hechavarria,1.412,1.733,0.571,0.222,0.236,0.214,0.253
138,Jose Bautista,1.647,2.378,0.750,0.250,0.234,0.220,0.274
139,Mitch Moreland,1.451,1.778,0.679,0.257,0.233,0.221,0.263
140,Russell Martin,1.642,2.099,0.808,0.269,0.231,0.223,0.273
141,Jason Heyward,1.667,2.200,0.679,0.224,0.230,0.215,0.264
142,Todd Frazier,1.882,2.378,0.786,0.229,0.225,0.216,0.269
143,Chris Carter,1.451,1.956,0.679,0.257,0.222,0.221,0.267
144,Chris Davis,1.667,2.244,0.714,0.235,0.221,0.217,0.267
145,Alex Gordon,1.510,2.000,0.571,0.208,0.220,0.211,0.255
146,Danny Espinosa,1.275,1.778,0.429,0.185,0.209,0.207,0.244
