,Name,MarApr_AB,MarApr_PA,MarApr_H,MarApr_AVG,FullSeason_AVG,Prediction.1,Prediction.2
1,DJ LeMahieu,1.549,1.956,0.821,0.291,0.348,0.228,0.275
2,Daniel Murphy,1.588,2.000,1.071,0.370,0.347,0.243,0.297
3,Jose Altuve,1.863,2.444,1.036,0.305,0.338,0.231,0.290
4,Joey Votto,1.627,2.178,0.679,0.229,0.326,0.216,0.264
5,Charlie Blackmon,1.642,2.099,0.808,0.269,0.324,0.223,0.273
6,Jean Segura,2.176,2.578,1.321,0.333,0.319,0.236,0.300
7,Mookie Betts,2.137,2.533,1.036,0.266,0.318,0.223,0.282
8,Dustin Pedroia,2.020,2.467,1.143,0.311,0.318,0.232,0.292
9,Miguel Cabrera,1.745,2.178,0.857,0.270,0.316,0.224,0.275
10,Mike Trout,1.686,2.244,0.893,0.291,0.315,0.228,0.282
11,David Ortiz,1.529,2.022,0.893,0.321,0.315,0.234,0.285
12,Jose Ramirez,1.642,2.099,0.808,0.269,0.312,0.223,0.273
13,Starling Marte,1.941,2.378,1.143,0.323,0.311,0.234,0.293
14,Corey Seager,1.882,2.356,0.857,0.250,0.308,0.220,0.274
15,Yadier Molina,1.608,2.089,1.000,0.341,0.307,0.238,0.291
16,Wilson Ramos,1.642,2.099,0.808,0.269,0.307,0.223,0.273
17,J.D. Martinez,1.686,2.222,0.857,0.279,0.307,0.225,0.278
18,Ryan Braun,1.529,1.956,0.929,0.333,0.305,0.236,0.286
19,Martin Prado,1.431,1.778,1.036,0.397,0.305,0.248,0.299
20,Yunel Escobar,1.882,2.356,0.964,0.281,0.304,0.226,0.282
21,J.T. Realmuto,1.412,1.644,0.750,0.292,0.303,0.228,0.269
22,Elvis Andrus,1.490,1.867,0.893,0.329,0.302,0.235,0.283
23,Freddie Freeman,1.588,2.111,0.750,0.259,0.302,0.221,0.271
24,Francisco Lindor,1.608,2.067,0.857,0.293,0.301,0.228,0.278
25,Adrian Beltre,1.765,2.200,0.929,0.289,0.300,0.227,0.280
26,Carlos Gonzalez,1.784,2.178,1.071,0.330,0.298,0.236,0.290
27,Robinson Cano,1.824,2.289,0.750,0.226,0.298,0.215,0.266
28,Christian Yelich,1.588,2.267,1.000,0.346,0.298,0.239,0.296
29,Paul Goldschmidt,1.667,2.511,0.750,0.247,0.297,0.219,0.276
30,Melky Cabrera,1.765,2.267,0.893,0.278,0.296,0.225,0.279
31,Carlos Beltran,1.627,1.933,0.750,0.253,0.295,0.220,0.265
32,Nolan Arenado,1.784,2.244,1.000,0.308,0.294,0.231,0.286
33,Xander Bogaerts,1.824,2.311,0.964,0.290,0.294,0.228,0.283
34,Cesar Hernandez,1.510,1.889,0.750,0.273,0.294,0.224,0.269
35,Manny Machado,1.882,2.311,1.179,0.344,0.294,0.238,0.297
36,Jose Abreu,1.882,2.422,0.786,0.229,0.293,0.216,0.270
37,Kris Bryant,1.627,2.089,0.857,0.289,0.292,0.227,0.278
38,Jonathan Lucroy,1.510,1.889,0.821,0.299,0.292,0.229,0.276
39,Anthony Rizzo,1.529,2.200,0.607,0.218,0.292,0.213,0.262
40,Ender Inciarte,1.642,2.099,0.808,0.269,0.291,0.223,0.273
41,Brandon Phillips,1.431,1.733,0.750,0.288,0.291,0.227,0.270
42,Victor Martinez,1.490,1.867,0.893,0.329,0.289,0.235,0.283
43,Ian Kinsler,1.843,2.267,1.107,0.330,0.288,0.236,0.292
